Focus Area,Question,Career Level,Role,Expected Answer
Adaptability,Describe a time when you had to learn a new technology quickly to complete a project.,Early to Mid,Software Engineer - Infrastructure,"Demonstrates fast learning, seeking help/resources, applying knowledge to deliver results."
Automation & Tooling,What’s a CI/CD setup you implemented for OS or Kubernetes deployment? What tools did you use?,Mid,Software Engineer - Infrastructure,"Mentions Jenkins/GitHub Actions/ArgoCD, image signing, canary testing, automated rollback."
Automation & Tooling,Describe a time you automated a repetitive system task. What was the outcome?,Early to Mid,Software Engineer - Infrastructure,"Emphasizes scripting (Bash, Python), measurable time savings, reduced errors, team benefit."
BPF & Networking,How have you used eBPF for observability or network policy enforcement?,Mid to Peak,Software Engineer - Infrastructure,"Explains tracing with BCC/bpftrace, XDP usage, Cilium policy design, low-overhead diagnostics, and code samples or OSS contributions."
BPF & Networking,What are the performance and security considerations when deploying BPF-based observability tools?,Peak,Software Engineer - Infrastructure,"Understands verifier, kernel versioning, tail calls, memory safety, and impact of probes in critical paths."
Category,Question,Level,Software Engineer - Infrastructure,Expected Answer Traits
Clarity,Give an example of how you clarified ambiguous technical requirements.,Mid,Software Engineer - Infrastructure,"Describes breaking down the problem, asking clarifying questions, involving stakeholders."
Collaboration,Tell me about a time when team priorities conflicted with another team’s. How did you resolve it?,Mid,Software Engineer - Edge Security,"Shows empathy, proactive communication, compromise, alignment on goals."
Collaboration,You’re working with a team unfamiliar with Kubernetes. How do you help them adopt best practices?,Mid,Software Engineer - Edge Security,"Mentions mentorship, documentation, pairing sessions, gradual onboarding."
Collaboration,How do you give and receive feedback in a high-performing team?,Early to Mid,Software Engineer - Edge Security,"Shows openness, tact, specific feedback examples, continuous improvement mindset."
Collaboration,Tell me about a time when you had to convince another team to adopt a more secure design despite pushback.,Mid,Software Engineer - Edge Security,"Shows influence, empathy, data-driven persuasion, working through priorities, negotiation, and outcome."
Collaboration,Tell me about a time you collaborated with infra and app teams to roll out a kernel or OS upgrade. What went well or wrong?,Mid,Software Engineer - Infrastructure,"Highlights testing rigor, cross-functional alignment, blast radius control, documentation, and customer empathy."
Collaboration,Describe a time when you had to work with a cross-functional team to achieve a goal. What was your role and the outcome?,Mid,Software Engineer - Infrastructure,"Highlights teamwork, adaptability, and the ability to align different perspectives towards a common objective."
Collaboration,How do you handle conflicts within a team? Provide an example.,Mid,Software Engineer - Infrastructure,"Shows conflict resolution skills, active listening, and a focus on team cohesion."
Collaboration,Tell me about a time when you mentored a colleague. How did you approach it?,Mid,Software Engineer - Infrastructure,"Discusses guidance, knowledge sharing, and fostering growth in others."
Collaboration & Communication,How do you ensure your communication is effective when working on deeply technical problems with cross-functional teams?,Mid,Software Engineer - Infrastructure,"Discusses use of diagrams, async comms, documenting assumptions, shared terminology."
Communication,How do you explain the importance of mTLS to a team unfamiliar with security protocols?,Early to Mid,Software Engineer - Edge Security,"Uses simple analogies, explains authentication/authorization concepts clearly."
Communication,A new edge security policy may degrade UX. How do you communicate and gain alignment with stakeholders?,Mid,Software Engineer - Edge Security,"Balances technical and business priorities, gathers feedback, presents clear impact/risk analysis."
Communication,Describe a time you had to convey complex technical tradeoffs to a non-engineering audience.,Mid,Software Engineer - Edge Security,"Describes use of visual aids, clear language, and ability to address concerns."
Communication,How do you explain complex technical concepts to non-technical stakeholders?,Early to Mid,Software Engineer - Infrastructure,"Uses analogies, visual aids, and clear language to bridge the technical gap."
Communication,Describe a situation where you had to convey bad news to a team or stakeholder. How did you handle it?,Mid,Software Engineer - Infrastructure,"Shows transparency, empathy, and a focus on solutions while maintaining trust."
Communication,Can you provide an example of how you documented a technical process or system?,Mid,Software Engineer - Infrastructure,"Emphasizes clarity, structure, and accessibility of documentation for diverse audiences."
Conflict Resolution,How do you handle disagreements on technical decisions with team members?,Mid,Software Engineer - Infrastructure,"Emphasizes listening, data-driven arguments, and openness to alternate perspectives."
Containerization & Kubernetes,How does Kubernetes manage the lifecycle of containers?,Mid,All Technical ,"Explains Pods, Deployments, ReplicaSets, how Kubernetes orchestrates container deployment, scaling, and lifecycle."
Containerization & Kubernetes,"What are the differences between a Kubernetes Deployment and a StatefulSet, and when would you use each?",Mid to Peak,All Technical ,"Describes use cases for both, focusing on stateful vs stateless applications and storage needs."
Containerization & Kubernetes,Describe the networking model in Kubernetes. How do Pods communicate with each other?,Mid to Peak,All Technical ,"Explains Kubernetes networking, Pod IPs, Services, Network Policies, CNI plugins, and DNS for services."
Containerization & Kubernetes,"How does Kubernetes handle scaling, both horizontally and vertically?",Mid,All Technical ,"Discusses ReplicaSets, Horizontal Pod Autoscalers (HPA), resource requests/limits for vertical scaling."
Containerization & Runtimes,"How do container runtimes like runc, containerd, and Kata Containers differ architecturally? When would you use each?",Mid to Peak,Software Engineer - Infrastructure,"Explains OCI layers, hardware virtualization (Kata), security models, isolation vs. performance tradeoffs."
Containerization & Runtimes,What challenges have you faced managing containers alongside VMs in a mixed runtime environment?,Mid,Software Engineer - Infrastructure,"Understands resource contention, scheduling, CNI/plugin implications, security profiles (AppArmor, seccomp)."
Continuous Learning,"What recent developments in Linux kernel, Kubernetes, or cloud-native observability excite you most?",Early to Peak,Software Engineer - Infrastructure,"Shows curiosity, mentions kernel features (e.g., Landlock, io_uring), Cilium/Gvisor trends, and OSS engagement."
Customer Centricity,How would you modify an edge service to meet latency SLAs in underserved markets?,Mid to Peak,Software Engineer - Edge Security,"Explores PoP placement, caching, compression, region-specific configs."
Customer Centricity,"When building a certificate management system, how do you ensure reliability for internal developers?",Mid,Software Engineer - Edge Security,"Discusses intuitive APIs, uptime guarantees, self-service, alerts, and support processes."
Customer Centricity,Tell me about a time when you discovered a security fix was impacting end-user experience. What did you do?,Mid,Software Engineer - Edge Security,"Describes mitigation, stakeholder communication, redesign for balance."
Customer Centricity,Describe a time when you identified a customer pain point and implemented a solution. What was the impact?,Mid to Peak,Software Engineer - Infrastructure,"Shows empathy, problem-solving, and a focus on enhancing customer experience."
Customer Centricity,How do you ensure that the systems you build meet the needs of end-users?,Mid,Software Engineer - Infrastructure,"Discusses user feedback loops, usability testing, and iterative development."
Customer Centricity,Explain how you prioritize customer needs when balancing technical debt and feature development.,Mid to Peak,Software Engineer - Infrastructure,"Highlights prioritization frameworks, stakeholder engagement, and long-term value delivery."
Debugging & Troubleshooting,Walk me through how you diagnosed a kernel panic or node crash in production.,Peak,Software Engineer - Infrastructure,"Describes kdump, logs, memory dumps, dmesg, bisecting changes, reproducibility."
Debugging & Troubleshooting,What steps would you take to troubleshoot intermittent network latency in a containerized app?,Mid,Software Engineer - Infrastructure,"Mentions tcpdump, iperf, eBPF, QoS configs, container-to-host bridge issues."
Empathy & Active Listening,Tell me about a time you changed your mind after listening to a teammate’s perspective.,Mid,Software Engineer - Infrastructure,"Shows openness, willingness to learn, team-first mindset, and growth attitude."
Incident Response,"Describe how you would handle a zero-day vulnerability in a critical edge component (e.g., OpenSSL or NGINX).",Mid to Peak,Software Engineer - Edge Security,"Outlines identification, impact analysis, patch/testing, rollout plan, communication strategy, and postmortem."
Incident Response,Have you ever had to rollback a security feature due to production issues? What did you learn?,Mid,Software Engineer - Edge Security,"Shows maturity in balancing security vs. reliability, rollback planning, stakeholder alignment, lessons learned."
Incident Response,What metrics would you monitor to detect potential abuse or system compromise in an edge service?,Mid,Software Engineer - Edge Security,"Highlights anomaly detection, spike in auth failures, egress volume, response latencies, geographic anomalies, 4xx/5xx ratios."
Kernel Engineering,Describe your experience customizing and optimizing the Linux kernel. What were the performance gains or tradeoffs?,Peak,Software Engineer - Infrastructure,"Shows understanding of kernel config, scheduler, cgroups, memory management; mentions measurable impact and debugging tools (perf, ftrace)."
Kernel Engineering,How would you implement a controlled and reliable Linux OS upgrade process across thousands of nodes?,Mid to Peak,Software Engineer - Infrastructure,"Discusses phased rollouts, canary upgrades, failback strategies, package/image management, automation via Ansible or custom tooling."
Kernel Engineering,What kernel subsystems have you contributed to or debugged in-depth? How did you approach a tricky kernel bug?,Peak,Software Engineer - Infrastructure,"Shows confidence in reading kernel source, using crash dumps, understanding spinlocks, tracepoints, bisecting regressions."
Linux Kernel & OS Internals,Explain the process of booting a Linux system from BIOS to running userspace.,Peak,All Technical ,"Discusses BIOS/UEFI, bootloader, kernel loading, init process, and systemd or init.d."
Linux Kernel & OS Internals,What is the role of the kernel in memory management? How does the Linux kernel handle memory allocation and page faults?,Mid to Peak,All Technical ,"Explains kernel's role in managing physical and virtual memory, page tables, page faults, and swapping."
Linux Kernel & OS Internals,Describe the role and importance of system calls in Linux. Can you name a few commonly used system calls?,Early to Mid,All Technical ,"Explains system calls (e.g., `read`, `write`, `fork`), kernel-user space interaction, and the role in process management."
Linux Kernel & OS Internals,"What are cgroups and namespaces, and how do they contribute to containerization in Linux?",Mid to Peak,All Technical ,"Discusses resource limitation (cgroups) and process isolation (namespaces), and their relationship to containers."
Networking & Security,Explain how you would secure a Kubernetes cluster. What measures would you take to protect both the control plane and workloads?,Peak,All Technical ,"Discusses RBAC, Network Policies, PodSecurityPolicies, API server authentication/authorization, audit logs, and etcd encryption."
Networking & Security,"What are the key differences between Layer 3 and Layer 7 in network security, and how does this relate to Kubernetes?",Mid,All Technical ,"Explains network security at the IP level (Layer 3) vs. application-level (Layer 7), and how Kubernetes Network Policies and Cilium provide security controls."
Networking & Security,Describe a situation where you had to debug a networking issue in a containerized environment. What tools and techniques did you use?,Mid,All Technical ,"Discusses tools like `kubectl`, `nslookup`, `ping`, `traceroute`, `tcpdump`, or eBPF for network diagnostics in a Kubernetes environment."
Networking & Security,"What is the difference between a Kubernetes Ingress and a Service, and when would you use each?",Mid,All Technical ,"Explains the role of Ingress for HTTP routing and external access, and Services for internal communication and load balancing."
Observability,How do you ensure observability for a custom OS running Kubernetes? What metrics and tools do you rely on?,Mid,Software Engineer - Infrastructure,"Includes Prometheus, BPF, journald, cAdvisor, node-exporter, systemd insights; covers alerting strategy and golden signals."
Observability & Diagnostics,How would you instrument an application running in Kubernetes for better observability?,Mid,All Technical ,"Describes metrics collection (Prometheus), distributed tracing (OpenTelemetry), and centralized logging (ELK, Fluentd)."
Observability & Diagnostics,What metrics and logs would you collect to monitor the health of Kubernetes nodes and workloads?,Mid,All Technical ,"Explains important metrics like node CPU/memory usage, pod health, network traffic, and logs from containers, kubelet, and kube-apiserver."
Observability & Diagnostics,Describe how you would troubleshoot a Kubernetes pod that is continuously restarting.,Mid,All Technical ,"Discusses checking logs, Pod events, resource limits, liveness/readiness probes, and examining crash backoffs."
Observability & Diagnostics,How would you monitor and troubleshoot high latency in a Kubernetes network?,Mid,All Technical ,"Explains the use of tools like `kubectl`, `tcpdump`, and network monitoring plugins, checking service timeouts, and analyzing DNS resolution."
Open Source Contributions,What’s a recent open-source contribution you’ve made? How do you decide what projects to contribute to?,Mid to Peak,Software Engineer - Infrastructure,"Shows code samples, PRs, communication on issues/MRs, interest in upstream collaboration and ecosystem relevance."
Operational Excellence,What strategies do you use to ensure high availability and minimal downtime in Kubernetes workloads?,Mid,Software Engineer - Infrastructure,"Explains readiness/liveness probes, PodDisruptionBudgets, zone-aware autoscaling, chaos testing."
Operational Excellence,Describe how you handle on-call rotations and reduce alert fatigue.,Mid,Software Engineer - Infrastructure,"Mentions SLOs, alert tuning, actionable alerts only, incident review processes, runbooks."
Other,What security trends are you most excited about right now? How do you stay current?,Early to Peak,Software Engineer - Edge Security,"Shows curiosity, learning habits, awareness of trends like passkeys, AI-secured infra, supply chain attacks."
Other,What’s a recent technical topic you’ve taught a teammate? How did you approach it?,Early to Mid,Software Engineer - Edge Security,"Reflects clarity, mentoring approach, adaptability to learning styles."
Other,How do you prioritize your tasks when faced with multiple urgent system issues?,Mid,Software Engineer - Edge Security,"Describes triage, impact analysis, alert severity, clear communication."
Other,What would you do in your first 90 days if hired into this role?,Early to Mid,Software Engineer - Edge Security,"Shows planning, ramp-up goals, relationship building, quick wins focus."
Problem-Solving,Describe a complex issue you encountered in a distributed system. How did you diagnose and resolve it?,Mid to Peak,Software Engineer - Infrastructure,"Shows systematic troubleshooting, use of observability tools, root cause analysis, and implementation of a robust solution."
Problem-Solving,How would you approach debugging a performance bottleneck in a Kubernetes cluster?,Mid to Peak,Software Engineer - Infrastructure,"Discusses profiling tools (e.g., pprof, flame graphs), resource utilization metrics, and iterative optimization techniques."
Problem-Solving,Explain a time when you had to make a trade-off between system performance and reliability. What was your decision-making process?,Mid to Peak,Software Engineer - Infrastructure,"Highlights risk assessment, stakeholder communication, and balancing short-term needs with long-term system health."
Programming & Tooling,Tell me about a Go-based system tool you’ve built. What made you choose Go and how did you ensure performance?,Mid to Peak,Software Engineer - Infrastructure,"Discusses memory handling, concurrency patterns, benchmarks, GC behavior, and tooling like pprof, go-metrics."
Programming & Tooling,Describe a Python-based automation or monitoring tool you created. What was its impact?,Mid,Software Engineer - Infrastructure,"Shows scripting proficiency, API integrations, and real-world improvements to operations or observability."
Programming Proficiency,What are the key differences between Go and Python in terms of concurrency and performance?,Mid,All Technical ,"Compares Go's goroutines and channels with Python's threading and multiprocessing, performance implications, and use cases."
Programming Proficiency,Describe a time when you optimized code for performance in a containerized environment. What tools or techniques did you use?,Early to Mid,All Technical ,"Mentions profiling tools (e.g., pprof, flame graphs), reducing CPU/memory overhead, and improving system efficiency."
Programming Proficiency,How would you handle error handling and logging in a high-performance Go application?,Mid,All Technical ,"Explains Go's error handling idioms, structured logging (e.g., using Logrus), and importance of context in distributed systems."
Programming Proficiency,"What’s your approach to managing dependencies and ensuring reproducibility in a multi-language development environment (Go, Python)?",Mid,All Technical ,"Discusses dependency management with Go modules, virtualenv/Poetry for Python, and using Docker for environment consistency."
Security & Compliance Awareness,How do you ensure compliance and security for custom OS images across a fleet?,Mid to Peak,Software Engineer - Infrastructure,"Talks about CIS benchmarks, image signing, secure boot, auditing tools, drift detection."
Security & Compliance Awareness,What’s your approach to managing secrets in a containerized environment?,Mid,Software Engineer - Infrastructure,"Mentions Kubernetes secrets, Vault, key rotation, RBAC, encrypted at rest and in transit."
Security Engineering,How would you prevent and detect SSRF attacks in an edge service handling dynamic routing?,Mid to Peak,Software Engineer - Edge Security,"Understands input validation, egress controls, logging patterns, metadata protection; mentions use of WAF, service mesh, or sandboxing."
Security Engineering,"What are common TLS misconfigurations you’ve seen, and how would you detect or mitigate them at scale?",Mid to Peak,Software Engineer - Edge Security,"Mentions cipher suite management, certificate validity, protocol versioning, OCSP stapling; proposes automation and audits."
Security Engineering,Describe how you’d build rate-limiting logic that can withstand DDoS attacks without impacting legitimate users.,Mid to Peak,Software Engineer - Edge Security,"Knows IP/user-token limiting, token buckets, CAP principles, CDN strategies, edge filters, and behavioral rate limiting."
Security Engineering,How do you handle secrets management at the edge where latency and availability are critical?,Mid,Software Engineer - Edge Security,"Discusses secure bootstrapping, caching with rotation, zero-trust design, integration with secret managers or HSMs."
Security Engineering,What’s your process for reviewing the security posture of a third-party edge SDK or module before integration?,Mid,Software Engineer - Edge Security,"Includes dependency analysis, SBOM tools, vulnerability scanning, static/dynamic testing, supply chain hygiene."
Strategy,How do you balance engineering velocity with long-term security investments in a fast-paced environment?,Mid,Software Engineer - Edge Security,"Shows ability to phase security work, evangelize value, align with risk tolerance, and use automation/tooling."
System Design,How would you scale a PKI infrastructure to serve thousands of internal services with minimal latency?,Peak,Software Engineer - Edge Security,"Balances scalability, security, and fault tolerance; discusses load balancing, caching, geo-redundancy."
System Design,How do you approach designing a Kafka-based event system that must guarantee no message loss and high throughput? ,Mid to Peak ,Software Engineer - Edge Security,"Mentions partitioning, replication, consumer group handling, idempotent producers, monitoring."
System Design,Design a globally distributed key validation system for client certificates. How do you ensure low latency and high availability?,Peak,Software Engineer - Edge Security,"Talks about PoP placement, caching validation results, failovers, OCSP alternatives, load balancing, key revocation."
System Design,How would you architect a secure multi-tenant edge platform that isolates traffic and data between tenants?,Mid to Peak,Software Engineer - Edge Security,"Explains namespace separation, authN/Z layers, RBAC/ABAC, eBPF, resource limits, and logging segmentation."
System Design,Explain how you would design logging and observability for an edge auth system without leaking PII.,Mid,Software Engineer - Edge Security,"Understands redaction, field-level filtering, log sampling, secure transport, user opt-out, and alerting without sensitive data."
System Design,"Design a Linux-based OS image pipeline for Kubernetes nodes that supports secure boot, observability, and rollback.",Peak,Software Engineer - Infrastructure,"Mentions reproducible builds, bootloaders, TPM integration, CI/CD pipelines, immutability, containerd support, and monitoring hooks."
System Design ,| How would you design a distributed rate-limiting system that works across multiple data centers? ,Mid to Peak,Software Engineer - Edge Security,Ensures consistency across regions; explains token bucket/leaky bucket strategies; considers network partitions and failover.
System Design ,Design a secure service for handling API keys and secrets. What are your design priorities?,Mid ,Software Engineer - Edge Security,"Considers encryption at rest/in transit, access controls, audit logging, secret rotation."
System Design ,How would you implement secure service discovery in a microservices architecture? ,Mid,Software Engineer - Edge Security,"Mentions mutual TLS, identity-based access, service mesh, DNS poisoning prevention."
Systems Design & Architecture,Design a scalable and fault-tolerant Kubernetes control plane for a multi-region environment.,Peak,Software Engineer - Infrastructure,"Discusses etcd HA, control plane separation, API server scaling, multi-region federation, and disaster recovery."
Systems Design & Architecture,How would you architect a logging and metrics pipeline for thousands of Kubernetes nodes?,Mid to Peak,Software Engineer - Infrastructure,"Mentions Fluentd/Vector, Prometheus, OpenTelemetry, log aggregation, horizontal scaling, and long-term storage."
Technical Depth,What are the most critical syscalls or kernel features for container security and isolation?,Peak,Software Engineer - Infrastructure,"Discusses namespaces, seccomp filters, cgroups, capabilities, AppArmor/SELinux policies."
Technical Depth,How do cgroups and namespaces work under the hood? How do they contribute to container isolation?,Mid to Peak,Software Engineer - Infrastructure,"Provides clear explanation of kernel constructs, syscalls involved, and runtime configuration."
Transparency/Stakeholder Management,How do you keep stakeholders informed during high-impact incidents or outages?,Mid,Software Engineer - Infrastructure,"Mentions regular updates, status pages, postmortems, and transparency without blame."
Troubleshooting,A Kubernetes pod is stuck in `CrashLoopBackOff`. Walk through your approach to debugging it.,Early to Mid,Software Engineer - Edge Security,"Explains how to check logs, describe the pod, inspect resource usage, analyze recent changes."
Troubleshooting,High CPU usage is detected in your certificate signing service. How would you proceed?,Mid,Software Engineer - Edge Security,"Looks at profiling, code efficiency, GC behavior, misconfigurations, or attack vectors."
Troubleshooting,A bot mitigation service is experiencing false positives. How do you improve its accuracy?,Mid to Peak,Software Engineer - Edge Security,"Proposes better behavioral heuristics, data feedback loops, rollout controls, and logging."
Troubleshooting,Your DNS layer is intermittently resolving slowly. What tools and strategies do you use to investigate?,Mid,Software Engineer - Edge Security,"Discusses dig/nslookup, latency metrics, upstream health, DNS TTLs, recursive issues."
Troubleshooting ,|Certificates in one region are not renewing. How do you triage and isolate the issue?,Mid,Software Engineer - Edge Security,"Describes regional logging analysis, service health checks, dependency maps, failover testing."
Values & Team Fit,"What do you value most in a team culture, and how do you contribute to it?",Early to Mid,Software Engineer - Infrastructure,"Mentions psychological safety, collaboration, helping others succeed, open dialogue."
Values Alignment,Describe a time you stood up for a secure design even when it slowed development.,Mid,Software Engineer - Edge Security,"Demonstrates integrity, advocacy for quality/security, clear reasoning."
Values Alignment,How do you contribute to a culture of inclusion in engineering teams?,All Levels,Software Engineer - Edge Security,"Mentions listening, valuing diverse perspectives, inclusive code reviews, documentation practices."
Values Alignment,"Why do you want to work at eBay, and how do you align with our mission and values?",Early to Peak,Software Engineer - Infrastructure,"Shows understanding of eBay's mission, demonstrates passion, and aligns personal values with the company's."
Values Alignment,Describe a time when you had to make a decision that aligned with company values over personal convenience.,Mid to Peak,Software Engineer - Infrastructure,"Highlights integrity, ethical decision-making, and commitment to organizational principles."
Values Alignment,How do you contribute to fostering an inclusive and diverse work environment?,Early to Peak,Software Engineer - Infrastructure,"Discusses actions taken to promote diversity, equity, and inclusion within teams."
Vision,What recent trends in edge computing or distributed security excite you? How do you stay ahead of the curve?,Early to Peak,Software Engineer - Edge Security,"Demonstrates curiosity, follows conferences/blogs, aware of WASM, passkeys, egress controls, AI+security, remote attestation."
Vision,"Where do you think edge security is heading in the next 3–5 years, and how should we prepare for it?",Mid to Peak,Software Engineer - Edge Security,"Discusses shift toward confidential computing, decentralized identity, automation, post-quantum crypto, and user-centric models."